,rank,year,contract_start,contract_end,contract_length,age,games,war,league_r,bats_r,throws_r,team_sr,team_pr,position_r,ts_mil,as_mil,clusters,cluster
320,64,2019,2015,2020,6,27,134,7.9,0,0,0,12,12,8,144.5,17.666667,0,light pink
321,64,2020,2015,2020,6,28,53,1.8,0,0,0,12,12,8,144.5,37.666666,0,light pink
322,64,2015,2015,2020,6,23,159,9.6,0,0,0,12,12,8,144.5,6.083,0,light pink
323,64,2016,2015,2020,6,24,159,10.5,0,0,0,12,12,8,144.5,16.083,0,light pink
324,64,2017,2015,2020,6,25,114,6.9,0,0,0,12,12,8,144.5,20.083,0,light pink
325,64,2018,2015,2020,6,26,140,9.9,0,0,0,12,12,8,144.5,34.083,0,light pink
326,65,2018,2018,2025,8,28,157,0.9,1,1,1,22,22,3,144.0,21.0,0,light pink
327,65,2019,2018,2025,8,29,160,-0.5,1,1,1,22,22,4,144.0,21.0,0,light pink
328,65,2020,2018,2025,8,30,38,1.2,1,1,1,22,22,5,144.0,21.0,0,light pink
329,65,2021,2018,2025,8,31,151,1.0,1,1,1,22,22,3,144.0,21.0,0,light pink
330,65,2022,2018,2025,8,32,90,1.1,1,1,1,22,22,3,144.0,21.0,0,light pink
331,65,2022,2018,2025,8,32,14,0.0,0,1,1,22,3,3,144.0,0.0,0,light pink
332,65,2023,2018,2025,8,33,31,-0.5,1,1,1,22,4,3,144.0,0.72,0,light pink
333,66,2011,2011,2017,7,29,130,0.3,0,1,1,3,3,7,142.0,14.857142,0,light pink
334,66,2012,2011,2017,7,30,31,0.6,0,1,1,3,3,7,142.0,0.0,0,light pink
335,66,2013,2011,2017,7,31,116,1.5,1,1,1,3,13,7,142.0,20.0,0,light pink
336,66,2014,2011,2017,7,32,105,2.4,1,1,1,3,13,7,142.0,20.25,0,light pink
337,66,2015,2011,2017,7,33,69,-0.2,1,1,1,3,13,7,142.0,21.357,0,light pink
338,66,2016,2011,2017,7,34,30,-1.0,1,1,1,3,13,7,142.0,0.0,0,light pink
339,67,2003,2003,2011,9,29,160,6.3,1,1,1,8,8,3,141.5,10.6,0,light pink
340,67,2004,2003,2011,9,30,154,8.3,1,1,1,8,8,4,141.5,11.6,0,light pink
341,67,2005,2003,2011,9,31,144,4.6,1,1,1,8,8,5,141.5,12.6,0,light pink
342,67,2006,2003,2011,9,32,145,2.3,1,1,1,8,8,3,141.5,16.6,0,light pink
343,67,2007,2003,2011,9,33,154,4.5,1,1,1,8,8,3,141.5,16.6,0,light pink
344,67,2008,2003,2011,9,34,83,1.0,1,1,1,8,8,3,141.5,16.6,0,light pink
345,67,2009,2003,2011,9,35,151,3.3,1,1,1,8,8,3,141.5,16.6,0,light pink
346,67,2010,2003,2011,9,36,118,0.2,1,1,1,8,8,3,141.5,17.775,0,light pink
347,67,2011,2003,2011,9,37,124,2.2,1,1,1,8,8,3,141.5,20.275,0,light pink
348,68,2022,2022,2028,7,29,157,6.0,0,2,0,7,7,5,141.0,22.0,0,light pink
349,68,2023,2022,2028,7,30,113,4.1,0,2,0,7,7,5,141.0,14.0,0,light pink
350,69,2022,2022,2027,6,29,144,2.6,0,0,0,9,9,6,140.0,20.0,0,light pink
351,69,2023,2022,2027,6,30,109,0.3,0,0,0,9,9,6,140.0,22.0,0,light pink
352,69,2019,2019,2024,6,29,33,5.0,1,1,1,29,29,1,140.0,12.916666,0,light pink
353,69,2020,2019,2024,6,30,11,1.7,1,1,1,29,29,1,140.0,19.416667,0,light pink
354,69,2021,2019,2024,6,31,31,-1.2,1,1,1,29,29,1,140.0,24.416667,0,light pink
355,69,2022,2019,2024,6,32,31,-2.4,1,1,1,29,29,1,140.0,23.416666,0,light pink
356,69,2023,2019,2024,6,33,24,0.4,1,1,1,29,29,1,140.0,24.416667,0,light pink
357,69,2022,2022,2028,6,29,94,2.5,0,0,0,3,3,6,140.0,20.0,0,light pink
358,69,2023,2022,2028,6,30,5,0.3,0,0,0,3,3,6,140.0,20.0,0,light pink
359,72,2013,2013,2020,8,30,112,5.2,1,0,0,17,17,5,138.0,11.0,2,purple
360,72,2014,2013,2020,8,31,134,2.1,1,0,0,17,17,5,138.0,20.0,2,purple
361,72,2015,2013,2020,8,32,38,0.6,1,0,0,17,17,5,138.0,20.0,2,purple
362,72,2016,2013,2020,8,33,37,0.0,1,0,0,17,17,5,138.0,20.0,2,purple
363,72,2018,2013,2020,8,35,2,0.0,1,0,0,17,17,5,138.0,20.0,2,purple
364,73,2023,2019,2023,5,35,6,0.7,0,0,0,17,27,1,137.5,30.0,2,purple
365,73,2019,2019,2023,5,31,32,7.2,1,0,0,17,17,1,137.5,9.0,2,purple
366,73,2020,2019,2023,5,32,12,2.6,1,0,0,17,17,1,137.5,25.0,2,purple
367,73,2021,2019,2023,5,33,15,4.5,1,0,0,17,17,1,137.5,35.5,2,purple
368,73,2022,2019,2023,5,34,11,1.5,1,0,0,17,17,1,137.5,35.5,2,purple
369,73,2008,2008,2013,6,29,34,7.1,1,1,1,17,17,1,137.5,16.984216,2,purple
370,73,2009,2008,2013,6,30,25,3.3,1,1,1,17,17,1,137.5,18.876139,2,purple
371,73,2010,2008,2013,6,31,29,4.7,1,1,1,17,17,1,137.5,20.144707,2,purple
372,73,2012,2008,2013,6,33,21,0.1,1,1,1,17,17,1,137.5,24.0,2,purple
373,75,2007,2007,2014,8,31,135,4.3,1,0,0,4,4,10,136.0,10.0,2,purple
374,75,2008,2007,2014,8,32,109,2.0,1,0,0,4,4,10,136.0,14.0,2,purple
375,75,2009,2007,2014,8,33,117,-1.6,1,0,0,4,4,10,136.0,17.0,2,purple
376,75,2010,2007,2014,8,34,147,0.8,1,0,0,4,4,10,136.0,19.0,2,purple
377,75,2011,2007,2014,8,35,137,0.0,1,0,0,4,4,10,136.0,19.0,2,purple
378,75,2012,2007,2014,8,36,151,1.9,1,0,0,4,4,10,136.0,18.0,2,purple
379,75,2013,2007,2014,8,37,93,0.9,1,0,0,4,4,10,136.0,0.0,2,purple
380,75,2013,2007,2014,8,37,58,2.1,0,0,0,4,18,10,136.0,18.0,2,purple
381,75,2014,2007,2014,8,38,67,-1.2,0,0,0,4,18,10,136.0,18.0,2,purple
382,76,2014,2014,2021,8,24,162,3.0,1,1,0,1,1,3,135.0,5.125,2,purple
383,76,2015,2014,2021,8,25,118,3.0,1,1,0,1,1,4,135.0,8.5,2,purple
384,76,2016,2014,2021,8,26,158,6.3,1,1,0,1,1,5,135.0,12.0,2,purple
385,76,2017,2014,2021,8,27,117,4.7,1,1,0,1,1,3,135.0,20.5,2,purple
386,76,2018,2014,2021,8,28,162,5.5,1,1,0,1,1,3,135.0,21.0,2,purple
387,76,2019,2014,2021,8,29,158,3.7,1,1,0,1,1,3,135.0,21.0,2,purple
388,76,2020,2014,2021,8,30,60,3.3,1,1,0,1,1,3,135.0,22.0,2,purple
389,76,2021,2014,2021,8,31,159,4.9,1,1,0,1,1,3,135.0,22.0,2,purple
390,77,2016,2016,2021,6,28,153,1.7,0,0,0,9,9,7,132.75,22.125,2,purple
391,77,2017,2016,2021,6,29,125,5.2,0,0,0,9,9,7,132.75,0.0,2,purple
392,77,2017,2016,2021,6,29,27,0.5,0,0,0,9,12,7,132.75,22.125,2,purple
393,77,2018,2016,2021,6,30,145,3.7,0,0,0,9,12,7,132.75,16.0,2,purple
394,77,2019,2016,2021,6,31,63,-0.9,0,0,0,9,12,7,132.75,18.0,2,purple
395,77,2020,2016,2021,6,32,42,-0.4,0,0,0,9,12,7,132.75,21.0,2,purple
396,77,2021,2016,2021,6,33,89,-0.8,0,0,0,9,12,7,132.75,23.0,2,purple
397,78,2022,2022,2028,7,28,32,-0.6,0,0,0,28,28,1,131.0,10.714286,2,purple
398,78,2023,2022,2028,7,29,24,1.7,0,0,0,28,28,1,131.0,15.714285,2,purple
399,79,2016,2016,2022,6,30,32,5.5,1,0,0,24,24,1,130.0,15.833333,2,purple
400,79,2017,2016,2022,6,31,25,2.0,1,0,0,24,24,1,130.0,21.833333,2,purple
401,79,2018,2016,2022,6,32,9,1.4,1,0,0,24,24,1,130.0,21.833333,2,purple
402,79,2019,2016,2022,6,33,4,0.1,1,0,0,24,24,1,130.0,21.833333,2,purple
403,79,2020,2016,2022,6,34,12,0.1,1,0,0,24,24,1,130.0,21.833334,2,purple
404,79,2021,2016,2022,6,35,22,0.9,1,0,0,24,24,1,130.0,21.833334,2,purple
405,79,2022,2016,2022,6,36,25,3.5,0,0,0,24,5,1,130.0,0.0,2,purple
406,79,2022,2022,2024,3,37,23,5.2,1,0,0,17,17,1,130.0,43.333333,2,purple
407,79,2023,2022,2024,3,38,19,2.1,1,0,0,17,17,1,130.0,43.333333,2,purple
408,79,2023,2022,2024,3,38,3,0.7,0,0,0,17,27,1,130.0,0.0,2,purple
409,79,2020,2020,2024,5,32,58,2.1,1,0,0,25,25,3,130.0,26.0,2,purple
410,79,2021,2020,2024,5,33,158,6.0,1,0,0,25,25,4,130.0,26.0,2,purple
411,79,2022,2020,2024,5,34,151,7.8,1,0,0,25,25,5,130.0,26.0,2,purple
412,79,2023,2020,2024,5,35,115,2.7,1,0,0,25,25,3,130.0,26.0,2,purple
413,79,2014,2014,2020,7,31,123,0.0,0,1,1,27,27,10,130.0,14.0,2,purple
414,79,2015,2014,2020,7,32,149,3.2,0,1,1,27,27,10,130.0,14.0,2,purple
415,79,2016,2014,2020,7,33,48,0.2,0,1,1,27,27,10,130.0,20.0,2,purple
416,79,2017,2014,2020,7,34,149,0.8,0,1,1,27,27,10,130.0,20.0,2,purple
417,79,2018,2014,2020,7,35,146,2.7,0,1,1,27,27,10,130.0,20.0,2,purple
418,79,2019,2014,2020,7,36,151,1.6,0,1,1,27,27,10,130.0,21.0,2,purple
419,79,2020,2014,2020,7,37,33,0.1,0,1,1,27,27,10,130.0,21.0,2,purple
420,83,2007,2007,2013,7,29,34,2.0,1,1,1,24,24,1,126.0,10.0,2,purple
421,83,2008,2007,2013,7,30,32,-0.1,1,1,1,24,24,1,126.0,14.5,2,purple
422,83,2009,2007,2013,7,31,33,2.5,1,1,1,24,24,1,126.0,18.5,2,purple
423,83,2010,2007,2013,7,32,34,1.1,1,1,1,24,24,1,126.0,18.5,2,purple
424,83,2011,2007,2013,7,33,13,-0.7,1,1,1,24,24,1,126.0,18.5,2,purple
425,83,2012,2007,2013,7,34,32,0.1,1,1,1,24,24,1,126.0,19.0,2,purple
426,83,2013,2007,2013,7,35,30,-2.5,1,1,1,24,24,1,126.0,20.0,2,purple
427,83,2011,2011,2017,7,32,150,1.3,1,0,0,29,29,7,126.0,10.571428,2,purple
428,83,2012,2011,2017,7,33,81,0.8,1,0,0,29,29,7,126.0,13.0,2,purple
429,83,2013,2011,2017,7,34,129,4.6,1,0,0,29,29,7,126.0,16.0,2,purple
430,83,2014,2011,2017,7,35,147,4.2,1,0,0,29,29,7,126.0,20.0,2,purple
431,83,2015,2011,2017,7,36,88,-1.5,1,0,0,29,29,7,126.0,21.0,2,purple
432,83,2016,2011,2017,7,37,143,0.3,1,0,0,29,29,7,126.0,21.0,2,purple
433,83,2017,2011,2017,7,38,70,-0.7,1,0,0,29,29,7,126.0,21.0,2,purple
434,83,2008,2008,2014,7,29,108,2.0,0,0,0,28,28,7,126.0,3.6875,2,purple
435,83,2009,2008,2014,7,30,158,0.9,0,0,0,28,28,7,126.0,4.6875,2,purple
